,F1,F2,F3,F4,F5,LabelF1,LabelF2,LabelF3,LabelF4,LabelF5
0,38.38245293067265,39.21097672581365,6.037857681805614,12.611930341319304,30.81693528665372,0.0,0.0,0.0,0.0,0.0
1,45.563849311238336,37.41313632978013,5.568438377811541,21.396789378482467,28.991823990483333,0.0,0.0,0.0,0.0,0.0
2,46.783791647258695,38.366198402753,7.698305103835276,16.648589021062666,30.696711034840927,0.0,0.0,0.0,0.0,0.0
3,41.433792421818886,41.671429370145134,6.037106742532656,20.447114155380596,30.41261723703357,0.0,0.0,0.0,0.0,0.0
4,35.721483997599435,37.06837943817803,5.589071541072506,14.259102642277883,30.516728096536912,0.0,0.0,0.0,0.0,0.0
5,43.419250238649326,39.267311676751525,7.922219991542044,18.580778715055565,31.338575398968416,0.0,0.0,0.0,0.0,0.0
6,37.166572770363246,41.43461533103161,5.2801193977827054,20.16762103725362,28.193171012540727,0.0,0.0,0.0,0.0,0.0
7,42.369395002372514,39.440572776898996,5.332874713636273,12.076131468682856,27.927904814661726,0.0,0.0,0.0,0.0,0.0
8,44.87093560195942,39.606656360638276,6.550949009772259,21.082366636765627,28.590672382869496,0.0,0.0,0.0,0.0,0.0
9,39.518735994984354,35.85343568712184,5.445732982608117,11.025874804697256,29.608792535534935,0.0,0.0,0.0,0.0,0.0
10,39.749093181366554,36.57225251545594,6.077804049304825,18.944335505244446,30.027907309432365,0.0,0.0,0.0,0.0,0.0
11,42.83618638058808,36.763656121807735,6.320556013679315,16.29815886224976,31.948128198434247,0.0,0.0,0.0,0.0,0.0
12,34.99463149848032,38.98906936977329,5.7558247880967635,14.715441175336963,29.08710280142956,0.0,0.0,0.0,0.0,0.0
13,41.892094082725315,39.27781184698989,6.921607112820277,15.445535043827311,28.592517692465094,0.0,0.0,0.0,0.0,0.0
14,46.536498255218426,35.98714677210974,6.464934170404577,18.614094433652692,31.406173421708836,0.0,0.0,0.0,0.0,0.0
15,39.39861427451606,37.60664585988167,5.8934245275212245,13.216662242908965,29.406375780822327,0.0,0.0,0.0,0.0,0.0
16,39.16329713229341,36.20367773508777,6.21808180547565,13.9075684410141,33.6129191418367,0.0,0.0,0.0,0.0,0.0
17,44.46603583110596,37.23691428625101,6.688415577905173,23.47088051637158,28.02592563793007,0.0,0.0,0.0,0.0,0.0
18,40.352555305950716,37.91327909874735,5.562448317051318,17.49101439381795,29.270998681403434,0.0,0.0,0.0,0.0,0.0
19,38.174281738341236,36.73060850409906,6.948562754302317,15.713878204266589,32.152889545494496,0.0,0.0,0.0,0.0,0.0
20,45.04925744392748,33.455027884221316,5.5265028923285655,14.761866860776438,32.597808755510286,0.0,0.0,0.0,0.0,0.0
21,38.411048658373325,38.848352851387894,6.6923268097894155,19.29431226368934,27.15912059255241,0.0,0.0,0.0,0.0,0.0
22,42.8729386210557,40.759811886951944,5.367631531660327,18.610662563884976,30.827227930367677,0.0,0.0,0.0,0.0,0.0
23,42.10135413086621,38.134748844875766,5.5323021346549535,19.28334672461287,31.354642596527817,0.0,0.0,0.0,0.0,0.0
24,40.782473218568036,41.175755716466234,6.657402546706541,17.807591942719903,31.68529660228086,0.0,0.0,0.0,0.0,0.0
25,46.033527041178736,40.76360768364255,5.711135553781437,15.057382421899971,29.62033329782417,0.0,0.0,0.0,0.0,0.0
26,38.9673538226311,41.15395322330895,5.7938732287485815,22.325228371307894,31.00771196718208,0.0,0.0,0.0,0.0,0.0
27,46.04904087563249,40.68977794359828,5.580066104885433,14.706919929510692,26.74471335672089,0.0,0.0,0.0,0.0,0.0
